time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
2.970000	9.890064	-0.086789	4.092171	15.054813
3.000000	10.001886	-0.083800	4.066811	15.360668
3.030000	10.113709	-0.080543	4.041451	15.666519
3.060000	10.225118	-0.077257	4.012138	15.978718
3.090000	10.336526	-0.073936	3.982826	16.290916
3.120000	10.447934	-0.070972	3.953514	16.603115
3.150000	10.558374	-0.067912	3.919189	16.923664
3.180000	10.668815	-0.064784	3.884872	17.244209
3.210000	10.778143	-0.061735	3.846893	17.571114
3.240000	10.887471	-0.058818	3.808914	17.898018
3.270000	10.996799	-0.056244	3.770927	18.224922
3.300000	11.104403	-0.053652	3.728371	18.559994
3.330000	11.212009	-0.051141	3.685814	18.895061
3.360000	11.319614	-0.048936	3.643257	19.230133
3.390000	11.425143	-0.046699	3.595947	19.573864
3.420000	11.530672	-0.044512	3.548637	19.917595
3.450000	11.634623	-0.042414	3.498093	20.267338
3.480000	11.738573	-0.040500	3.447548	20.617081
3.510000	11.842524	-0.038828	3.397003	20.966827
3.540000	11.944407	-0.037154	3.342255	21.324432
3.570000	12.046291	-0.035567	3.287506	21.682034
3.600000	12.146629	-0.034039	3.229622	22.045506
3.630000	12.246967	-0.032631	3.171738	22.408978
3.660000	12.347306	-0.031410	3.113853	22.772449
3.690000	12.445682	-0.030176	3.052017	23.143345
3.720000	12.544057	-0.029022	2.990181	23.514240
3.750000	12.642431	-0.028023	2.928352	23.885136
3.780000	12.738713	-0.026991	2.862350	24.263844
3.810000	12.834995	-0.026015	2.796349	24.642551
3.840000	12.929793	-0.025069	2.727486	25.026611
3.870000	13.024592	-0.024211	2.658623	25.410667
3.900000	13.119390	-0.023469	2.589760	25.794727
3.930000	13.212171	-0.022707	2.517120	26.185806
3.960000	13.304952	-0.022003	2.444481	26.576885
3.990000	13.396155	-0.021309	2.369049	26.973106
4.020000	13.487360	-0.020677	2.293617	27.369328
4.050000	13.578564	-0.020132	2.218185	27.765549
4.080000	13.667603	-0.019557	2.139130	28.168392
4.110000	13.756642	-0.019049	2.060074	28.571236
4.140000	13.843946	-0.018540	1.978294	28.978958
4.170000	13.931249	-0.018074	1.896515	29.386684
4.200000	14.018552	-0.017674	1.814728	29.794411
4.230000	14.103484	-0.017239	1.729431	30.208359
4.260000	14.188416	-0.016865	1.644127	30.622307
4.290000	14.271493	-0.016481	1.556190	31.040794
4.320000	14.354569	-0.016135	1.468254	31.459286
4.350000	14.437646	-0.015836	1.380318	31.877777
4.380000	14.518249	-0.015503	1.288940	32.302074
4.410000	14.598851	-0.015234	1.197563	32.726376
